Raw,Mapped
Austin Hubbard,Austin Hubbard
Austin Lingo,Austin Lingo
Austin Springer,Austin Springer
Azunna Anyanwu,Azunna Anyanwu
BJ Penn,BJ Penn
Barb Honchak,Barb Honchak
Bartosz Fabinski,Bartosz Fabinski
Batgerel Danaa,Batgerel Danaa
Bea Malecki,Bea Malecki
Bec Rawlings,Bec Rawlings
Belal Muhammad,Belal Muhammad
Ben Askren,Ben Askren
Ben Nguyen,Ben Nguyen
Ben Rothwell,Ben Rothwell
Ben Saunders,Ben Saunders
Ben Sosoli,Ben Sosoli
Ben Wall,Ben Wall
Beneil Dariush,Beneil Dariush
Benito Lopez,Benito Lopez
Benson Henderson,Benson Henderson
Bethe Correia,Bethe Correia
Bevon Lewis,Bevon Lewis
Bharat Kandare,Bharat Kandare
Bigfoot Silva,Bigfoot Silva
Bill Algeo,Bill Algeo
Billy Quarantillo,Billy Quarantillo
Blagoy Ivanov,Blagoy Ivanov
Bobby Green,Bobby Green
Bobby Moffett,Bobby Moffett
Bobby Nash,Bobby Nash
Bobby Voelker,Bobby Voelker
Bojan Mihajlovic,Bojan Mihajlovic
Bojan Velickovic,Bojan Velickovic
Boston Salmon,Boston Salmon
Brad Katona,Brad Katona
Brad Pickett,Brad Pickett
Brad Riddell,Brad Riddell
Brad Tavares,Brad Tavares
Bradley Scott,Bradley Scott
Brady Huang,Brady Huang
Brandon Davis,Brandon Davis
Brandon Moreno,Brandon Moreno
Brandon Royval,Brandon Royval
Brandon Thatch,Brandon Thatch
Brendan Allen,Brendan Allen
Brendan Loughnane,Brendan Loughnane
Brendan O'Reilly,Brendan O'Reilly
Brendan Schaub,Brendan Schaub
Brett Johns,Brett Johns
Brian Camozzi,Brian Camozzi
Brian Ebersole,Brian Ebersole
Brian Houston,Brian Houston
Brian Kelleher,Brian Kelleher
Brian Ortega,Brian Ortega
Brianna Van Buren,Brianna Van Buren
Brock Lesnar,Brock Lesnar
Brok Weaver,Brok Weaver
Bruno Korea,Bruno Korea
Bruno Oliveira,Bruno Oliveira
Bruno Santos,Bruno Santos
Bruno Silva,Bruno Silva
Bryan Barberena,Bryan Barberena
Bryan Caraway,Bryan Caraway
Bryce Mitchell,Bryce Mitchell
Bubba McDaniel,Bubba McDaniel
CB Dollaway,CB Dollaway
CJ Hamilton,CJ Hamilton
CM Punk,CM Punk
Cain Carrizosa,Cain Carrizosa
Cain Velasquez,Cain Velasquez
Caio Magalhaes,Caio Magalhaes
Callan Potter,Callan Potter
Calvin Kattar,Calvin Kattar
Cameron Church,Cameron Church
Cameron Else,Cameron Else
Cameron Olson,Cameron Olson
Carla Esparza,Carla Esparza
Carlo Pedersoli,Carlo Pedersoli
Carlos Candelario,Carlos Candelario
Carlos Condit,Carlos Condit
Carlos Diego Ferreira,Carlos Diego Ferreira
Carlos Felipe,Carlos Felipe
Carlos Huachin,Carlos Huachin
Carlos Ulberg,Carlos Ulberg
Carls John De Tomas,Carls John De Tomas
Carlston Harris,Carlston Harris
Carlton Minus,Carlton Minus
Casey Kenney,Casey Kenney
Casey O'Neill,Casey O'Neill
Cat Zingano,Cat Zingano
Cathal Pendred,Cathal Pendred
Cesar Arzamendia,Cesar Arzamendia
Cezar Ferreira,Cezar Ferreira
Chad Johnson,Chad Johnson
Chad Laprise,Chad Laprise
Chad Mendes,Chad Mendes
Chan Sung Jung,Chan Sung Jung
Chance Rencountre,Chance Rencountre
Chanmi Jeon,Chanmi Jeon
Charles Byrd,Charles Byrd
Charles Jourdain,Charles Jourdain
Charles Oliveira,Charles Oliveira
