Raw,Mapped
Reginaldo Vieira,Reginaldo Vieira
Renan Barao,Renan Barao
Renato Carneiro,Renato Moicano
Renato Moicano,Renato Moicano
Renee Forte,Renee Forte
Reza Madadi,Reza Madadi
Rhys McKee,Rhys McKee
Ricardo Abreu,Ricardo Abreu
Ricardo Lamas,Ricardo Lamas
Ricardo Prasel,Ricardo Prasel
Ricardo Ramos,Ricardo Ramos
Richard Walsh,Richard Walsh
Richardson Moreira,Richardson Moreira
Richie Santiago,Richie Santiago
Richie Smullen,Richie Smullen
Richie Vaculik,Richie Vaculik
Rick Glenn,Rick Glenn
Rick Story,Rick Story
Ricky Rainey,Ricky Rainey
Ricky Simon,Ricky Simon
Ricky Steele,Ricky Steele
Ricky Turcios,Ricky Turcios
Rico Farrington,Rico Farrington
Rin Nakai,Rin Nakai
Roan Carneiro,Roan Carneiro
Rob Font,Rob Font
Rob Whiteford,Rob Whiteford
Rob Wilkinson,Rob Wilkinson
Robbie Lawler,Robbie Lawler
Robert Peralta,Robert Peralta
Robert Whittaker,Robert Whittaker
Roberto Sanchez,Roberto Sanchez
Rodolfo Rubio,Rodolfo Rubio
Rodolfo Vieira,Rodolfo Vieira
Rodrigo Damm,Rodrigo Damm
Rodrigo Nascimento,Rodrigo Nascimento
Rodrigo Nascimento Ferreira,Rodrigo Nascimento Ferreira
Rodrigo Vargas,Rodrigo Vargas
Rodrigo de Lima,Rodrigo de Lima
Roger Bowling,Roger Bowling
Roger Narvaez,Roger Narvaez
Roger Zapata,Roger Zapata
Rogerio Bontorin,Rogerio Bontorin
Rogerio Nogueira,Rogerio Nogueira
Roland Delorme,Roland Delorme
Rolando Dy,Rolando Dy
Roldan Sangcha-an,Roldan Sangcha-an
Roman Bogatov,Roman Bogatov
Roman Dolidze,Roman Dolidze
Roman Kopylov,Roman Kopylov
Roman Salazar,Roman Salazar
Ron Stallings,Ron Stallings
Ronaldo Candido De Oliveira,Ronaldo Candido De Oliveira
Ronaldo Souza,Jacare Souza
Ronda Rousey,Ronda Rousey
Ronnie Lawrence,Ronnie Lawrence
Ronny Markes,Ronny Markes
Rony Jason,Rony Jason
Roosevelt Roberts,Roosevelt Roberts
Roque Martinez,Roque Martinez
Rory MacDonald,Rory MacDonald
Rose Namajunas,Rose Namajunas
Rosi Sexton,Rosi Sexton
Ross Pearson,Ross Pearson
Rostem Akman,Rostem Akman
Rousimar Palhares,Rousimar Palhares
Roxanne Modafferi,Roxanne Modafferi
Roy Nelson,Roy Nelson
Royston Wee,Royston Wee
Ruan Potts,Ruan Potts
Ruon Potts,Ruon Potts
Ruslan Magomedov,Ruslan Magomedov
Russell Doane,Russell Doane
Rustam Khabilov,Rustam Khabilov
Ryan Bader,Ryan Bader
Ryan Benoit,Ryan Benoit
Ryan Hall,Ryan Hall
Ryan Janes,Ryan Janes
Ryan Jimmo,Ryan Jimmo
Ryan LaFlare,Ryan LaFlare
Ryan MacDonald,Ryan MacDonald
Ryan Spann,Ryan Spann
Sabah Homasi,Sabah Homasi
Sabina Mazo,Sabina Mazo
Sage Northcutt,Sage Northcutt
Sai Wang,Sai Wang
Said Nurmagomedov,Said Nurmagomedov
Salim Touahri,Salim Touahri
Sam Alvey,Sam Alvey
Sam Hughes,Sam Hughes
Sam Sicilia,Sam Sicilia
Sam Stout,Sam Stout
Sanford Alton Meeks,Sanford Alton Meeks
Sanghoon Yoo,Sanghoon Yoo
Santiago Ponzinibbio,Santiago Ponzinibbio
Saparbeg Safarov,Saparbeg Safarov
Sara McMann,Sara McMann
Sarah Alpar,Sarah Alpar
Sarah Frota,Sarah Frota
Sarah Kaufman,Sarah Kaufman
Sarah Moras,Sarah Moras
Sasha Palatnikov,Sasha Palatnikov
Scott Askham,Scott Askham
Scott Holtzman,Scott Holtzman
Scott Jorgensen,Scott Jorgensen
Sean Brady,Sean Brady
Sean O'Connell,Sean O'Connell
Sean O'Malley,Sean O'Malley
Sean Soriano,Sean Soriano
Sean Spencer,Sean Spencer
Sean Strickland,Sean Strickland
Sean Woodson,Sean Woodson
Seohee Ham,Seohee Ham
Sergei Pavlovich,Sergei Pavlovich
Sergey Khandozhko,Sergey Khandozhko
Sergey Morozov,Sergey Morozov
Serghei Spivac,Serghei Spivac
Sergio Moraes,Sergio Moraes
Sergio Pettis,Sergio Pettis
Seth Baczynski,Seth Baczynski
SeungWoo Choi,SeungWoo Choi
Seungwoo Choi,SeungWoo Choi
Shaheen Santana,Shaheen Santana
Shamil Abdurakhimov,Shamil Abdurakhimov
Shamil Gamzatov,Shamil Gamzatov
Shana Dobson,Shana Dobson
Shane Burgos,Shane Burgos
Shane Campbell,Shane Campbell
Shane Howell,Shane Howell
Shane Young,Shane Young
Shanna Young,Shanna Young
Shavkat Rakhmonov,Shavkat Rakhmonov
Shawn Jordan,Shawn Jordan
Shayna Baszler,Shayna Baszler
Sheldon Westcott,Sheldon Westcott
Shelton Graves,Shelton Graves
Sherrard Blackledge,Sherrard Blackledge
Sheymon Moraes,Sheymon Moraes
Shinsho Anzai,Shinsho Anzai
Sidney Outlaw,Sidney Outlaw
Sijara Eubanks,Sijara Eubanks
Sirwan Kakai,Sirwan Kakai
Siyar Bahadurzada,Siyar Bahadurzada
Soa Palelei,Soa Palelei
Sodiq Yusuff,Sodiq Yusuff
Song Kenan,Song Kenan
Song Yadong,Song Yadong
Spike Carlyle,Spike Carlyle
Stefan Sekulic,Stefan Sekulic
Stefan Struve,Stefan Struve
Stephanie Egger,Stephanie Egger
Stephanie Frausto,Stephanie Frausto
Stephen Regman,Stephen Regman
Stephen Thompson,Stephen Thompson
Steve Bosse,Steve Bosse
Steve Garcia,Steve Garcia
Steve Kennedy,Steve Kennedy
Steve Montgomery,Steve Montgomery
Steven Nguyen,Steven Nguyen
Steven Peterson,Steven Peterson
Steven Siler,Steven Siler
Stevie Ray,Stevie Ray
Stipe Miocic,Stipe Miocic
Su Mudaerji,Su Mudaerji
Sultan Aliev,Sultan Aliev
Suman Mokhtarian,Suman Mokhtarian
Sung Bin Jo,Sung Bin Jo
Sung Woo Choi,Sung Woo Choi
Syuri Kondo,Syuri Kondo
T.J. Dillashaw,T.J. Dillashaw
TJ Brown,TJ Brown
TJ Dillashaw,TJ Dillashaw
TJ Laramie,TJ Laramie
TJ Waldburger,TJ Waldburger
Tae Hyun Bang,Tae Hyun Bang
Tafon Nchukwi,Tafon Nchukwi
Tagir Ulanbekov,Tagir Ulanbekov
Tai Tuivasa,Tai Tuivasa
Taila Santos,Taila Santos
Takanori Gomi,Takanori Gomi
Takashi Sato,Takashi Sato
Takenori Sato,Takenori Sato
Takeya Mizugaki,Takeya Mizugaki
Talita Bernardo,Talita Bernardo
Tamdan McCrory,Tamdan McCrory
Taneisha Tennant,Taneisha Tennant
Tanner Boser,Tanner Boser
Tarec Saffiedine,Tarec Saffiedine
Tateki Matsuda,Tateki Matsuda
Tatiana Suarez,Tatiana Suarez
Tatsuya Kawajiri,Tatsuya Kawajiri
Taylor Johnson,Taylor Johnson
Taylor Lapilus,Taylor Lapilus
Taylor Moore,Taylor Moore
Te Edwards,Te Edwards
Tecia Torres,Tecia Torres
Teddy Ash,Teddy Ash
Teemu Packalen,Teemu Packalen
Terrance McKinney,Terrance McKinney
Terrion Ware,Terrion Ware
Teruto Ishihara,Teruto Ishihara
Thales Leites,Thales Leites
Thanh Le,Thanh Le
Thiago Alves,Thiago Alves
Thiago Moises,Thiago Moises
Thiago Perpetuo,Thiago Perpetuo
Thiago Santos,Thiago Santos
Thiago Silva,Thiago Silva
Thiago Tavares,Thiago Tavares
Thibault Gouti,Thibault Gouti
Thomas Almeida,Thomas Almeida
Thomas Gifford,Thomas Gifford
Tiago Trator,Tiago Trator
Tiffany Masters,Tiffany Masters
Tim Boetsch,Tim Boetsch
Tim Elliott,Timothy Elliott
Tim Gorman,Tim Gorman
Tim Johnson,Tim Johnson
Tim Kennedy,Tim Kennedy
Tim Means,Tim Means
Tim Williams,Tim Williams
Timothy Elliott,Timothy Elliott
Timur Valiev,Timur Valiev
Tina Lahdemaki,Tina Lahdemaki
Todd Duffee,Todd Duffee
Tom Aspinall,Tom Aspinall
Tom Breese,Tom Breese
Tom Duquesnoy,Tom Duquesnoy
Tom Gallicchio,Tom Gallicchio
Tom Lawlor,Tom Lawlor
Tom Niinimaki,Tom Niinimaki
Tom Watson,Tom Watson
Tony Ferguson,Tony Ferguson
Tony Gravely,Tony Gravely
Tony Johnson,Tony Johnson
Tony Kelley,Tony Kelley
Tony Sims,Tony Sims
Tonya Evinger,Tonya Evinger
Tor Troeng,Tor Troeng
Tracy Cortez,Tracy Cortez
Travis Browne,Travis Browne
Trevin Giles,Trevin Giles
Trevin Jones,Trevin Jones
Trevor Smith,Trevor Smith
Tristan Connelly,Tristan Connelly
Tucker Lutz,Tucker Lutz
Ty Flores,Ty Flores
Tyler Diamond,Tyler Diamond
Tyron Woodley,Tyron Woodley
Tyson Nam,Tyson Nam
Tyson Pedro,Tyson Pedro
Ulka Sasaki,Ulka Sasaki
Umar Nurmagomedov,Umar Nurmagomedov
Uriah Hall,Uriah Hall
Urijah Faber,Urijah Faber
Uros Medic,Uros Medic
Vagner Rocha,Vagner Rocha
Valentina Shevchenko,Valentina Shevchenko
Valerie Letourneau,Valerie Letourneau
Valmir Lazaro,Valmir Lazaro
Vanessa Demopoulos,Vanessa Demopoulos
Vanessa Melo,Vanessa Melo
Vaughan Lee,Vaughan Lee
Veronica Macedo,Veronica Macedo
Vicente Luque,Vicente Luque
Victor Reyna,Victor Reyna
Victor Rodriguez,Victor Rodriguez
Victoria Leonardo,Victoria Leonardo
Vik Grujic,Vik Grujic
Viktor Pesta,Viktor Pesta
Vinc Pichel,Vinc Pichel
Vince Cachero,Vince Cachero
Vince Morales,Vince Morales
Vince Murdock,Vince Murdock
Vinicius Alves Moreira,Vinicius Alves Moreira
Vinicius Moreira,Vinicius Moreira
Virna Jandiroba,Virna Jandiroba
Viscardi Andrade,Viscardi Andrade
Vitor Belfort,Vitor Belfort
Vitor Miranda,Vitor Miranda
Viviane Araujo,Viviane Araujo
Viviane Pereira,Viviane Pereira
Volkan Oezdemir,Volkan Oezdemir
Wagner Silva,Wagner Silva
Walt Harris,Walt Harris
Wang Guan,Wang Guan
Warlley Alves,Warlley Alves
Weili Zhang,Weili Zhang
Wellington Turman,Wellington Turman
Wendell Oliveira,Wendell Oliveira
Will Brooks,Will Brooks
Will Campuzano,Will Campuzano
Will Chope,Will Chope
William Knight,William Knight
William Macario,William Macario
William Patolino,William Patolino
Willie Gates,Willie Gates
Wilson Reis,Wilson Reis
Wu Yanan,Wu Yanan
Wuliji Buren,Wuliji Buren
Xiaonan Yan,Xiaonan Yan
Yair Rodriguez,Yair Rodriguez
Yan Cabral,Yan Cabral
Yan Xiaonan,Yan Xiaonan
Yana Kunitskaya,Yana Kunitskaya
Yanan Wu,Yanan Wu
Yancy Medeiros,Yancy Medeiros
Yao Zhikui,Yao Zhikui
Yaotzin Meza,Yaotzin Meza
Yoel Romero,Yoel Romero
Yorgan De Castro,Yorgan De Castro
Yosdenis Cedeno,Yosdenis Cedeno
Yoshihiro Akiyama,Yoshihiro Akiyama
Yoshinori Horie,Yoshinori Horie
Youssef Zalal,Youssef Zalal
Yui Chul Nam,Yui Chul Nam
Yushin Okami,Yushin Okami
Yusuke Kasuya,Yusuke Kasuya
Yuta Sasaki,Yuta Sasaki
Yves Edwards,Yves Edwards
Yves Jabouin,Yves Jabouin
Zabit Magomedsharipov,Zabit Magomedsharipov
Zach Makovsky,Zach Makovsky
Zach Zane,Zach Zane
Zak Cummings,Zak Cummings
Zak Ottow,Zak Ottow
Zarah Fairn dos Santos,Zarah Fairn dos Santos
Zarrukh Adashev,Zarrukh Adashev
Zelim Imadaev,Zelim Imadaev
Zhalgas Zhumagulov,Zhalgas Zhumagulov
Zhang Lipeng,Zhang Lipeng
Zhu Rong,Zhu Rong
Zu Anyanwu,Zu Anyanwu
Zubaira Tukhugov,Zubaira Tukhugov
